cod_colaborador,email,cpf,data_nascimento,endereco,cep,nome,idade
4,diaslucas@example.org,269.580.741-49,1976-10-14,"Sítio da Paz, 94 Conjunto Jatoba 59169-769 Nogueira / PA",07868885,Laís Lopes,47
42,oviana@example.com,196.574.038-39,1991-03-23,"Chácara de Pereira, 148 Etelvina Carneiro 74386-933 das Neves / TO",98758451,Enrico Lopes,33
53,antoniomonteiro@example.org,928.706.341-96,1990-10-08,"Área Enrico Caldeira, 9 Santa Cecilia 37808172 Rocha da Prata / PB",48143-984,Helena Lopes,33
57,das-nevesmaria-fernanda@example.org,697.351.804-48,1966-02-21,"Área de da Cunha, 52 Pantanal 27949-577 Barros / MT",04775-545,Lucca Lopes,58
67,davi-luiz75@example.net,538.697.210-30,1990-05-28,"Avenida Barros, 820 Vila Puc 71371716 da Paz / AM",95994401,Luiz Henrique Lopes,34
56,jalves@example.org,734.206.859-47,1985-11-27,"Trecho Teixeira, 90 Vila Oeste 93070-834 Moraes Paulista / DF",71279-339,Julia Pinto,38
31,laispeixoto@example.org,104.263.875-62,1978-06-12,"Loteamento de Peixoto, 42 Aparecida 7ª Seção 72660123 Nunes / SE",51569-010,Joaquim Pires,46
43,heitor34@example.org,279.438.056-74,1968-11-13,"Praia Daniela Nunes, 10 Vila Trinta E Um De Março 92370116 Silva Grande / AP",74002-728,Marcelo Ramos,55
50,barbara58@example.com,814.096.532-42,1970-04-09,"Fazenda de Pinto, 27 Pirineus 57057184 da Paz / MS",36777-821,João Pedro Ramos,54
26,rodriguesolivia@example.net,934.210.785-05,1974-06-03,"Alameda de Fogaça, 60 Araguaia 33543-326 Moraes de Santos / CE",26210551,Luiz Henrique Rocha,50
36,henriqueda-luz@example.com,503.247.891-14,1963-07-16,"Ladeira de Porto, 9 Distrito Industrial Do Jatoba 71922-717 Lima de Souza / SE",42103-068,Marcela Rocha,60
85,pauloribeiro@example.org,305.687.219-77,1991-12-07,"Fazenda Pedro Miguel Vieira, 714 São Salvador 88997-693 Viana da Mata / RR",12941395,Pedro Lucas Rocha,32
22,leticia48@example.org,192.058.346-70,1979-01-07,"Loteamento de Fogaça, 485 Vila Fumec 29814669 Gonçalves do Oeste / DF",60281-719,Davi Luiz Sales,45
54,emanuella17@example.net,784.290.531-23,1985-04-23,"Ladeira de Viana, 1 Conjunto Capitão Eduardo 97321062 Dias / BA",16683185,João Gabriel Sales,39
82,pedro-miguelda-rocha@example.org,097.435.216-07,1967-11-13,Loteamento Monteiro Conjunto Bonsucesso 77655-152 Nogueira de Minas / MA,62738233,Mirella Sales,56
65,luiz-gustavo49@example.org,652.307.918-02,1990-02-15,"Lago Costela, 31 Conjunto Santa Maria 75957-012 Azevedo / PE",75913-235,Sabrina Silva,34
68,icarvalho@example.com,627.134.095-43,1962-10-14,"Passarela Natália da Rosa, 24 São Pedro 65884-698 Rocha da Praia / PI",98839-500,João Miguel Souza,61
84,diogo68@example.org,136.078.249-40,1985-03-31,"Sítio Pereira, 2 Baleia 52815-925 da Cruz / PB",92408-486,Pietro Souza,39
72,martinsmarcos-vinicius@example.net,126.749.853-64,1991-04-25,"Colônia de da Luz, 258 Vila Santo Antônio Barroquinha 53260-352 Farias / MG",57387761,Noah Barros,33
62,oviana@example.org,381.657.092-59,1973-12-28,"Conjunto Alves, 8 Santa Amelia 36469-502 da Mota do Amparo / BA",16596-292,Arthur Campos,50
3,correialivia@example.net,297.634.180-03,1975-09-15,"Praia Marina Monteiro, 29 Vila São Francisco 58603414 Vieira da Serra / SC",96322-716,Kamilly Castro,48
17,asilva@example.com,137.405.962-52,1980-05-19,"Setor de Oliveira, 8 Teixeira Dias 68695-507 Costela / SC",71170-459,Larissa Castro,44
69,caldeiragiovanna@example.org,714.309.582-60,1986-10-05,"Trevo de Cavalcanti, 9 Renascença 86582782 Lima do Campo / RJ",26544-466,Helena Castro,37
98,rodrigo08@example.org,825.140.697-85,1964-03-06,"Trecho de da Paz, 27 Conjunto Taquaril 72170-264 Pinto / MS",36787-854,Alana Castro,60
18,almeidacaroline@example.net,047.836.592-65,1963-12-24,"Setor Thiago da Rocha, 9 Independência 55260-908 Santos da Prata / PE",29043497,Maria Vitória Duarte,60
81,maria91@example.com,059.817.632-21,1976-05-08,"Avenida Melo, 40 Estrela Do Oriente 56389266 da Luz do Oeste / AM",52447-374,Benício Farias,48
38,camposgiovanna@example.org,761.038.529-86,1981-02-15,"Condomínio Mirella da Conceição, 19 Petropolis 14916934 Lopes / PE",83417203,Luigi Moraes,43
63,vitoriagomes@example.org,291.847.506-85,1981-05-08,"Favela de Oliveira, 514 Vila Nova Gameleira 3ª Seção 04170-829 Teixeira do Campo / CE",74407700,Ana Clara Moraes,43
10,isisda-paz@example.org,187.053.296-12,1969-06-19,"Pátio Silveira, 48 Concórdia 02998-381 Moraes / SC",75796-270,Vitor Hugo Novaes,55
13,milena41@example.net,942.718.605-49,1964-04-13,"Distrito Enrico Souza, 9 Vila Novo São Lucas 51945-621 Gonçalves de Cunha / MS",96640825,Maria Fernanda Novaes,60
92,da-rochagustavo@example.com,961.452.703-06,1982-12-19,"Lagoa de Costa, 96 Conjunto Minas Caixa 87681-170 da Rosa / PE",54656-513,Eduarda Novaes,41
25,pteixeira@example.com,768.541.203-90,1970-05-13,"Largo Nogueira, 59 Conjunto Bonsucesso 43484658 Porto Paulista / AM",68997-717,Lara Santos,54
37,araujoana-vitoria@example.net,813.769.540-01,1981-07-04,Condomínio Araújo Vera Cruz 78170-346 da Paz da Serra / SE,75795-729,João Lucas Santos,43
24,pedro-henrique56@example.org,572.340.961-16,1989-06-13,"Campo Bruno Melo, 3 São Jorge 1ª Seção 04133-564 Araújo de Pires / PE",92847600,Vitória Vieira,35
44,wmoura@example.org,534.062.971-61,1997-10-30,"Alameda de Aragão, 5 Monte Azul 28055-168 Jesus / SC",64363-566,Bruno da Paz,26
30,joaquim97@example.org,057.264.198-20,1980-01-16,"Travessa Vitor Gabriel Silveira, 20 Granja Werneck 96535821 das Neves da Mata / AC",69196806,Arthur Almeida,44
90,wcampos@example.org,176.084.239-78,1993-12-03,"Vale de Costa, 62 Acaiaca 71168-130 Gonçalves da Praia / MG",61301741,Cauê Almeida,30
20,pedro-henrique82@example.com,495.278.610-20,1964-09-19,"Núcleo Emanuella Jesus, 621 Vila Jardim Montanhes 66803663 Pires do Campo / RR",23821831,Alice Aragão,59
74,stephanypeixoto@example.net,027.619.358-02,1991-11-10,Distrito Pinto Liberdade 55152-938 Nascimento / PA,28501-411,Laís Aragão,32
29,cavalcantithomas@example.org,403.527.198-50,1967-10-09,"Favela de Cunha, 84 Jardim América 28360-153 da Costa do Campo / RJ",42832-180,Juan Barbosa,56
83,da-luzcarolina@example.com,149.853.026-51,1993-11-04,"Esplanada de da Conceição, 52 Satelite 42238-305 Cavalcanti / DF",41497222,Julia Barbosa,30
71,arthur02@example.net,385.049.162-51,1967-07-13,"Colônia Thomas Viana, 918 Marajó 70771-248 Duarte / RJ",08566439,Gabriela Cardoso,56
89,silveiradaniela@example.org,461.203.589-51,1965-10-21,"Rodovia de Nogueira, 37 União 95858-378 das Neves / AM",65408-812,Camila Cardoso,58
97,costajoao-miguel@example.net,897.605.341-93,1969-04-22,"Vereda Freitas, 46 Minas Brasil 80891-631 da Mata / CE",21980-775,Nicolas Cardoso,55
21,vitor-hugosales@example.org,390.752.168-40,1973-03-24,"Chácara de Barbosa, 29 Engenho Nogueira 03345703 Cunha do Oeste / SP",03927-555,Rafaela Correia,51
33,leandro34@example.net,965.832.147-09,1993-02-23,"Morro de Souza, 84 Distrito Industrial Do Jatoba 67203-288 da Mota / AP",50769-513,Elisa Correia,31
47,carlos-eduardo92@example.com,031.248.796-78,1978-10-25,"Lagoa de da Mata, 20 Silveira 49023-064 Rocha do Sul / PE",94709-044,Maitê Correia,45
6,lrezende@example.org,264.875.013-44,1977-02-06,"Parque de Silveira, 66 Vila Da Luz 09881-664 Jesus / MS",12204328,Clarice Costela,47
99,osilveira@example.net,492.758.103-97,1963-11-24,"Praça de Duarte, 5 Santa Rosa 84418424 Cardoso de Carvalho / RO",15164977,Fernando Costela,60
23,qjesus@example.net,579.816.234-64,1988-08-16,"Campo João Barros, 99 Providencia 47135-118 Melo de Lima / ES",12605284,Elisa Fogaça,35
96,emilly44@example.com,790.245.683-74,1995-09-02,"Largo de das Neves, 1 Nova Esperança 60391950 Monteiro de da Rocha / CE",97215561,Gustavo Martins,28
11,enzo-gabrielduarte@example.com,263.589.174-55,1970-03-30,"Lago Evelyn Teixeira, 7 Pantanal 68026-096 Carvalho / SP",92857-785,Camila Moreira,54
7,igornovaes@example.net,396.071.582-02,1994-09-10,"Ladeira da Costa, 86 Conjunto Bonsucesso 59864-562 Porto de Barros / ES",92465328,Letícia Peixoto,29
9,valentinada-rocha@example.net,367.528.901-02,1969-04-01,"Sítio Maria Eduarda Pires, 8 Antonio Ribeiro De Abreu 1ª Seção 50991-334 Nogueira da Prata / BA",77896-815,Diego Peixoto,55
40,kgomes@example.com,047.931.256-70,1975-08-22,"Rodovia Leonardo da Cunha, 135 Ventosa 29667758 Moreira do Norte / AP",79262-228,Bryan Peixoto,48
52,ncosta@example.net,578.310.962-21,1991-10-10,"Fazenda Peixoto, 68 Marieta 3ª Seção 99059-719 Porto / SE",47431-701,Theo Peixoto,32
2,noahcastro@example.org,091.367.842-22,1993-11-10,"Recanto Nogueira, 3 Xangri-Lá 38163250 Vieira de Mendes / RN",05165-716,Clarice Ribeiro,30
5,paulo12@example.org,714.695.380-75,1974-06-01,"Parque Lima, 3 Europa 70881-379 Cunha / RS",22588-498,Emanuella Ribeiro,50
1,luiz-felipefarias@example.org,843.201.579-23,1996-01-31,"Vereda da Rocha, 240 Vila Aeroporto 10668-659 Caldeira / MT",69097997,Lorena da Mata,28
79,luiza18@example.net,241.395.068-06,1973-04-24,Passarela de Peixoto Distrito Industrial Do Jatoba 34288-743 da Mata Paulista / AM,04555518,Pietro da Mata,51
48,ianviana@example.net,452.389.017-04,1978-11-16,Trevo Bruno Azevedo Engenho Nogueira 17313-814 Porto de Goiás / RN,71636-333,Pietra da Mota,45
55,pedro-henrique85@example.com,205.719.486-85,1997-05-16,"Conjunto de Nascimento, 138 Marçola 26018227 Viana / RO",79292091,Ana Sophia da Mota,27
77,livia08@example.net,672.598.143-73,1997-04-13,"Condomínio Isabelly Cunha, 30 Prado 78943472 Rezende / PR",53778703,Sophie da Mota,27
8,csilva@example.net,853.624.091-15,1973-07-11,"Jardim da Luz, 96 Rio Branco 42420423 da Mata / MT",66925-534,Vitor Gabriel Caldeira,51
49,gustavo-henriquecastro@example.com,725.083.916-03,1977-08-06,"Travessa Laura Monteiro, 7 Grota 92672446 Porto / AL",36084-897,Pietra Caldeira,46
61,vcavalcanti@example.net,526.984.013-89,1963-04-27,Recanto Nina da Costa Vila Santa Monica 1ª Seção 23645052 Castro de Fernandes / MA,03745319,Davi Lucca Carvalho,61
58,lorena19@example.com,945.218.603-89,1994-02-22,"Vale Rezende, 4 São Geraldo 84460438 da Conceição de Sales / TO",33395-564,Ana Julia Ferreira,30
75,vitor-hugoribeiro@example.net,283.076.541-90,1978-07-13,"Ladeira de Nascimento, 359 Salgado Filho 60868-929 da Rosa / CE",01114-589,Maria Fernanda Ferreira,45
78,fernando53@example.org,369.428.710-87,1976-09-12,"Favela Barros, 28 Nazare 98329-395 Caldeira do Norte / GO",83982-409,João Felipe Ferreira,47
51,kda-cunha@example.com,823.456.790-00,1970-12-24,"Trecho de Duarte, 903 Leticia 22951015 Nascimento / RR",87312248,Pedro Lucas Silveira,53
93,barbarapereira@example.net,395.814.270-23,1980-09-09,"Campo de Silveira, 36 Bernadete 75409639 Barbosa / RN",48093646,Yuri Silveira,43
87,samuel34@example.org,403.762.985-29,1998-04-06,"Viaduto Cunha, 3 Minas Brasil 94652281 Nascimento do Oeste / SC",53544065,Luna Teixeira,26
73,sophie99@example.net,749.536.012-70,1977-03-08,"Conjunto Melo, 64 Vila Nova Gameleira 3ª Seção 99419458 Duarte Alegre / AC",80265890,Lucas Gabriel da Costa,47
34,rezendemarcela@example.org,627.401.395-43,1996-07-22,"Feira de Melo, 95 Bom Jesus 02499-885 Jesus / PE",73390-636,Daniela Fernandes,27
59,ida-costa@example.org,486.321.970-96,1987-09-10,Recanto Duarte Vila Mangueiras 08038-110 Araújo / RO,73404-769,Eloah Fernandes,36
60,pedro82@example.net,643.508.219-70,1993-09-18,"Conjunto Sofia Azevedo, 44 Ipe 31209677 Costela de Araújo / MA",24300799,Sabrina Fernandes,30
15,erodrigues@example.net,480.756.921-01,1968-05-21,"Esplanada de Almeida, 720 Manacas 89334474 Cardoso de Cunha / MT",92472266,Joana Rodrigues,56
66,estherdias@example.com,953.124.067-16,1992-02-27,"Praça Novaes, 93 Sion 55659988 Souza dos Dourados / SP",73034259,Lívia Rodrigues,32
12,milena37@example.net,182.045.369-33,1986-09-23,"Vale Marcos Vinicius Duarte, 302 Vila Paris 03560827 Moura / PR",12951-292,Ana Lívia das Neves,37
70,silveiraalicia@example.net,805.124.379-04,1966-08-18,"Rodovia Igor Moura, 41 Atila De Paiva 22036-616 Pereira / SC",79567620,Paulo Cavalcanti,57
95,gomesmanuela@example.org,309.764.251-06,1982-05-18,Trevo de Duarte Nossa Senhora Do Rosário 41440886 Rezende / MS,52427-851,Juliana Cavalcanti,42
94,caldeirasamuel@example.com,825.670.139-03,1971-01-09,"Largo de Pinto, 96 Vila Independencia 2ª Seção 38053880 da Mota do Amparo / TO",66939-843,Melissa Gonçalves,53
28,olivia97@example.org,719.360.824-03,1992-01-12,"Aeroporto Maria Cecília Rocha, 39 Serra Do Curral 08025-854 Cardoso da Praia / MA",42178150,Alexandre Nascimento,32
80,lorena74@example.org,956.104.283-51,1995-12-01,"Rua de da Mota, 7 Vila Mantiqueira 17429735 Jesus / SC",40016475,Clarice Nascimento,28
27,mcosta@example.com,139.467.025-70,1963-05-14,"Avenida de Campos, 513 Tres Marias 67624232 Correia / AM",66423556,Marcela da Conceição,61
35,giovannacavalcanti@example.net,342.506.918-70,1989-11-03,"Estação de Rezende, 33 Vila Betânia 65202-821 Silva / PI",59741896,Ryan da Conceição,34
